category,record_index,variant,translation
item,355,name,감정의책
item,356,name,평온의책
item,357,name,항마법책
item,358,name,페어리가루
item,359,name,재채기
item,360,name,실명
item,361,name,고대가루
item,362,name,신비가루
item,363,name,얼음방패책
item,364,name,책 =대기
item,365,name,공기방패책
item,366,name,침묵의책
item,367,name,책 =노크
item,368,name,방향의책
item,369,name,책 =탐지
item,370,name,냉기의책
item,371,name,실명의책
item,372,name,약화의책
item,373,name,둔화의책
item,374,name,독의책
item,375,name,화염방패책
item,376,name,보호의책
item,377,name,경상치료책
item,378,name,수면의책
item,379,name,갑옷용해책
item,380,name,금열쇠
item,381,name,철 열쇠
item,382,name,구리열쇠
item,383,name,미사일지팡이
item,384,name,스페이드열쇠
item,385,name,염소가면
item,386,name,램열쇠
item,387,name,크롬 열쇠
item,388,name,왕의일기
item,389,name,종열쇠
item,390,name,굵은밧줄
item,391,name,은 열쇠
item,392,name,썩은치즈
item,393,name,와인병
item,394,name,간수열쇠
item,395,name,망자기록
item,396,name,강철갈고리
item,397,name,밧줄&갈고리
item,398,name,던전열쇠
item,399,name,광부곡괭이
item,400,name,JR해독기
item,401,name,박제비글
item,402,name,신비한기름
item,403,name,티켓조각
item,404,name,램의책
item,405,name,부러진스프로킷
item,406,name,스프로킷
item,407,name,고무가닥
item,408,name,고무땋은줄
item,409,name,고무밴드
item,410,name,거대바위
item,411,name,장신구꾸러미
item,412,name,마법사의반지
item,413,name,A단조열쇠
item,414,name,광부의끌
item,415,name,구운옥수수
item,416,name,첨탑열쇠
item,417,name,마법사의기록
item,418,name,영혼의뿔
item,419,name,루비안구
item,420,name,루비안구
item,421,name,글루프스플로치
item,422,name,뼈열쇠
item,423,name,모래주머니
item,424,name,빈자루
item,425,name,마우무무우상
item,426,name,발가루
item,427,name,창 =죽음
item,428,name,미노스열쇠
item,429,name,저주열쇠
item,430,name,저주의책
item,431,name,재의원통
item,432,name,재의원통
item,433,name,무덤열쇠
item,434,name,사이렌의책
item,435,name,재의원통
item,436,name,길잃은자열쇠
item,437,name,동쪽출구열쇠
item,438,name,물담뱃대
item,439,name,향
item,440,name,코르크찌
item,441,name,특별메시지
item,442,name,코르크병
item,443,name,편지병
item,444,name,편지코르크병
item,445,name,답장코르크병
item,446,name,낚싯줄
item,447,name,낚시바늘
item,448,name,갈고리낚싯줄
item,449,name,금고열쇠
item,450,name,망자열쇠
item,451,name,붉은버섯
item,452,name,해골열쇠
item,453,name,드로우열쇠
item,454,name,기사열쇠
item,455,name,발키리열쇠
item,456,name,여왕열쇠
item,457,name,악의열쇠
item,458,name,성스런나무말뚝
item,459,name,강화성수
item,460,name,아람의지팡이
item,461,name,팅커벨
item,462,name,반사의돌
item,463,name,결정의열쇠
item,464,name,첫시험열쇠
item,465,name,난제의열쇠
item,466,name,첫시험열쇠
item,467,name,무의열쇠
item,468,name,최후의열쇠
item,469,name,최후의열쇠
item,470,name,BD열쇠
item,471,name,별의열쇠
item,472,name,은십자가
item,473,name,반지 =별
item,474,name,장미꽃잎
item,475,name,루타베가
item,476,name,사과
item,477,name,마법쿠키
item,478,name,약초패티
item,479,name,마법사동굴열쇠
item,480,name,액체금속
item,481,name,델파이반지
item,482,name,북쪽출구열쇠
